Date,Close
1927/12/30,17.65999985
1928/1/3,17.76000023
1928/1/4,17.71999931
1928/1/5,17.54999924
1928/1/6,17.65999985
1928/1/9,17.5
1928/1/10,17.37000084
1928/1/11,17.35000038
1928/1/12,17.46999931
1928/1/13,17.57999992
1928/1/16,17.29000092
1928/1/17,17.29999924
1928/1/18,17.26000023
1928/1/19,17.37999916
1928/1/20,17.47999954
1928/1/23,17.63999939
1928/1/24,17.70999908
1928/1/25,17.52000046
1928/1/26,17.62999916
1928/1/27,17.69000053
1928/1/30,17.48999977
1928/1/31,17.56999969
1928/2/1,17.53000069
1928/2/2,17.62999916
1928/2/3,17.39999962
1928/2/6,17.45000076
1928/2/7,17.44000053
1928/2/8,17.48999977
1928/2/9,17.54999924
1928/2/10,17.54000092
1928/2/14,17.44000053
1928/2/15,17.39999962
1928/2/16,17.35000038
1928/2/17,17.04000092
1928/2/20,16.95000076
1928/2/21,17.11000061
1928/2/23,17.12999916
1928/2/24,17.18000031
1928/2/27,17.11000061
1928/2/28,17.15999985
1928/2/29,17.26000023
1928/3/1,17.29999924
1928/3/2,17.29999924
1928/3/5,17.56999969
1928/3/6,17.67000008
1928/3/7,17.57999992
1928/3/8,17.63999939
1928/3/9,17.93000031
1928/3/12,18
1928/3/13,17.92000008
1928/3/14,17.93000031
1928/3/15,18.06999969
1928/3/16,18.26000023
1928/3/19,18.36000061
1928/3/20,18.45999908
1928/3/21,18.64999962
1928/3/22,18.60000038
1928/3/23,18.78000069
1928/3/26,19.04999924
1928/3/27,18.94000053
1928/3/28,18.88999939
1928/3/29,18.95000076
1928/3/30,19.28000069
1928/4/2,18.90999985
1928/4/3,19.02000046
1928/4/4,18.98999977
1928/4/5,19.22999954
1928/4/9,19.27000046
1928/4/10,19.10000038
1928/4/11,19.44000053
1928/4/12,19.40999985
1928/4/13,19.72999954
1928/4/16,19.68000031
1928/4/17,19.52000046
1928/4/18,19.52000046
1928/4/19,19.62999916
1928/4/20,19.34000015
1928/4/23,19.14999962
1928/4/24,19.25
1928/4/25,19.32999992
1928/4/26,19.46999931
1928/4/27,19.68000031
1928/4/30,19.75
1928/5/1,19.78000069
1928/5/2,19.82999992
1928/5/3,19.93000031
1928/5/4,20.23999977
1928/5/7,20.40999985
1928/5/8,20.27000046
1928/5/9,20.23999977
1928/5/10,20.20999908
1928/5/11,20.36000061
1928/5/14,20.44000053
1928/5/15,20.38999939
1928/5/16,20.04999924
1928/5/17,20.12000084
1928/5/18,19.92000008
1928/5/21,19.62999916
1928/5/22,19.36000061
1928/5/23,19.75
1928/5/24,19.87000084
1928/5/25,19.89999962
1928/5/28,19.56999969
1928/5/29,19.81999969
1928/5/31,20
1928/6/1,20.06999969
1928/6/4,19.79999924
1928/6/5,19.85000038
1928/6/6,19.65999985
1928/6/7,19.61000061
1928/6/8,19.37000084
1928/6/11,18.68000031
1928/6/12,18.34000015
1928/6/13,18.88999939
1928/6/14,19.04999924
1928/6/15,18.73999977
1928/6/18,18.39999962
1928/6/19,18.34000015
1928/6/20,18.56999969
1928/6/21,18.55999947
1928/6/22,18.54000092
1928/6/25,18.46999931
1928/6/26,18.68000031
1928/6/27,18.86000061
1928/6/28,19.06999969
1928/6/29,19.13999939
1928/7/2,18.97999954
1928/7/3,19.29000092
1928/7/5,19.47999954
1928/7/6,19.38999939
1928/7/9,19.45999908
1928/7/10,19.43000031
1928/7/11,18.95000076
1928/7/12,18.80999947
1928/7/13,18.95999908
1928/7/16,18.70000076
1928/7/17,18.79999924
1928/7/18,19.03000069
1928/7/19,18.98999977
1928/7/20,19.03000069
1928/7/23,19.12000084
1928/7/24,19.09000015
1928/7/25,19.20000076
1928/7/26,19.23999977
1928/7/27,19.42000008
1928/7/30,19.46999931
1928/7/31,19.43000031
1928/8/1,19.42000008
1928/8/2,19.32999992
1928/8/3,19.36000061
1928/8/6,19.57999992
1928/8/7,19.48999977
1928/8/8,19.25
1928/8/9,19.29999924
1928/8/10,19.25
1928/8/13,19.29000092
1928/8/14,19.12999916
1928/8/15,19.46999931
1928/8/16,19.61000061
1928/8/17,19.63999939
1928/8/20,19.77000046
1928/8/21,20.02000046
1928/8/22,20
1928/8/23,20.02000046
1928/8/24,20.34000015
1928/8/27,20.37999916
1928/8/28,20.54000092
1928/8/29,20.57999992
1928/8/30,20.61000061
1928/8/31,20.87000084
1928/9/4,20.96999931
1928/9/5,21.06999969
1928/9/6,20.94000053
1928/9/7,21.09000015
1928/9/10,20.92000008
1928/9/11,21.07999992
1928/9/12,21.15999985
1928/9/13,21.13999939
